Date,Open,High,Low,Close,Volume,adj_close,shares
2010-04-07,70.93,71.39,70.42,70.65,1992800,69.11,vw
2010-04-08,70.3,70.6,68.28,68.9,2053200,67.4,vw
2010-04-09,69.78,70,68.02,68.7,3643500,67.2,vw
2010-04-12,69,69.2,68.06,68.2,882900,66.71,vw
2010-04-13,68.11,68.38,67.02,67.5,1759200,66.03,vw
2010-04-14,67.94,69.79,67.56,69.69,2308900,68.17,vw
2010-04-15,69.86,71,69.5,70.4,1769300,68.87,vw
2010-04-16,69.99,71.9,69.81,70.92,3355400,69.37,vw
2010-04-19,71,71.15,69.2,70,1383400,68.47,vw
2010-04-20,71.51,73.48,71.1,72.5,2147800,70.92,vw
2010-04-21,73.76,75.72,72.85,75.26,5870100,73.62,vw
2010-04-22,75.35,76.46,73.86,76.18,3031500,74.52,vw
2010-04-23,75.51,75.9,73.2,73.47,2157100,73.47,vw
2010-04-26,74.5,74.75,72.9,73.5,1288500,73.5,vw
2010-04-27,73.28,73.34,71.04,71.04,1486800,71.04,vw
2010-04-28,70,70.41,67.71,68.6,3262400,68.6,vw
2010-04-29,69,72.41,68.7,72.41,2078200,72.41,vw
2010-04-30,72.87,73.38,70.68,72.54,1380300,72.54,vw
2010-05-03,72.74,73.46,70.84,73.36,784800,73.36,vw
2010-05-04,73.85,73.85,69.72,70.16,1873200,70.16,vw
2010-05-05,70.35,71.12,67.67,68.68,2723900,68.68,vw
2010-05-06,68.43,70.82,68,69.21,1965200,69.21,vw
2010-05-07,68,68.78,66.25,67.31,3129500,67.31,vw
2010-05-10,69,71.33,68.69,70.77,2168300,70.77,vw
2010-05-11,70.44,70.9,69.54,70.9,1357100,70.9,vw
2010-05-12,70.96,72.83,70.35,72.4,1175200,72.4,vw
2010-05-13,73.18,74,72.54,72.86,1202100,72.86,vw
2010-05-14,72.48,72.91,70.7,71.12,1555100,71.12,vw
2010-05-17,71.26,71.61,69.47,69.54,1334800,69.54,vw
2010-05-18,70.5,71.69,70.09,71.12,1149000,71.12,vw
2010-05-19,70.4,70.65,67.79,69.07,1713600,69.07,vw
2010-05-20,69.75,70.26,64.36,66.5,2868800,66.5,vw
2010-05-21,66.13,67.74,64.02,66.05,2613000,66.05,vw
2010-05-24,66.75,68.34,65.05,68.16,1145000,68.16,vw
2010-05-25,66.83,66.85,65.1,66.05,1321800,66.05,vw
2010-05-26,66.67,70.42,66.22,69.68,1676700,69.68,vw
2010-05-27,69.73,71,69.32,70.52,1146700,70.52,vw
2010-05-28,70.87,71.48,69.73,70.18,973500,70.18,vw
2010-05-31,70.18,72,70.15,71.73,534300,71.73,vw
2010-06-01,71.5,72.85,70.01,72.36,1087500,72.36,vw
2010-06-02,71.7,72.67,70.41,72.04,960100,72.04,vw
2010-06-03,72.9,73.39,71.32,72.29,1040300,72.29,vw
2010-06-04,72.2,72.59,69.89,70.03,1113400,70.03,vw
2010-06-07,69.2,70.44,68.5,69.95,811700,69.95,vw
2010-06-08,70.45,70.45,68.62,69.18,1162100,69.18,vw
2010-06-09,69.7,70.38,68.79,70.31,944400,70.31,vw
2010-06-10,69.96,72.59,69.23,72.21,1193800,72.21,vw
2010-06-11,72.5,72.9,70.8,72.18,1095600,72.18,vw
2010-06-14,72.9,73.01,71.45,72.11,778300,72.11,vw
2010-06-15,71.6,72.64,70.77,72.27,813100,72.27,vw
2010-06-16,72.82,72.88,71.08,72.44,1423200,72.44,vw
2010-06-17,72.32,75.2,72.23,75.2,1617800,75.2,vw
2010-06-18,75.25,76,74.47,75.75,2497700,75.75,vw
2010-06-21,77.12,78.23,76.59,77.73,1238500,77.73,vw
2010-06-22,77.44,77.82,75.43,76.65,991000,76.65,vw
2010-06-23,76,77.77,75.6,76.81,564800,76.81,vw
2010-06-24,77.02,78.15,76.01,77.23,897600,77.23,vw
2010-06-25,76.2,76.41,74.97,75.07,1255000,75.07,vw
2010-06-28,75.15,76.56,75.1,75.94,590600,75.94,vw
2010-06-29,74.85,75.14,72.81,73.43,1233300,73.43,vw
